3040051	les Escaldes	les Escaldes	Ehskal'des-Ehndzhordani,Escaldes,Escaldes-Engordany,Les Escaldes,esukarudesu=engorudani jiao qu,lai sai si ka er de-en ge er da,Эскальдес-Энджордани,エスカルデス＝エンゴルダニ教区,萊塞斯卡爾德-恩戈爾達,萊塞斯卡爾德－恩戈爾達	42.50729	1.53414	P	PPLA	AD		08				15853		1033	Europe/Andorra	2008-10-15
3041563	Andorra la Vella	Andorra la Vella	Ando-la-Vyey,Andora,Andora la Vela,Andora la Velja,Andora lja Vehl'ja,Andoro Malnova,Andorra,Andorra Tuan,Andorra a Vella,Andorra la Biella,Andorra la Vella,Andorra la Vielha,Andorra-a-Velha,Andorra-la-Vel'ja,Andorra-la-Vielye,Andorre-la-Vieille,Andò-la-Vyèy,Andòrra la Vièlha,an dao er cheng,andolalabeya,andwra la fyla,Ανδόρρα,Андора ла Веля,Андора ла Веља,Андора ля Вэлья,Андорра-ла-Велья,אנדורה לה וולה,أندورا لا فيلا,አንዶራ ላ ቬላ,アンドラ・ラ・ヴェリャ,安道爾城,안도라라베야	42.50779	1.52109	P	PPLC	AD		07				20430		1037	Europe/Andorra	2010-05-30
290594	Umm al Qaywayn	Umm al Qaywayn	Um al Quweim,Umm al Qaiwain,Umm al Qawain,Umm al Qaywayn,Yumul al Quwain,am alqywyn,أم القيوين	25.56473	55.55517	P	PPLA	AE		07				44411		2	Asia/Dubai	2012-01-18
291074	Ra’s al Khaymah	Ra's al Khaymah	Julfa,Khaimah,Ra's al Khaymah,Ras al Khaima,Ras al Khaimah,Ra’s al Khaymah,Rās al Khaima,ras alkhymt,رأس الخيمة	25.78953	55.9432	P	PPLA	AE		05				115949		2	Asia/Dubai	2012-01-18
291696	Khawr Fakkān	Khawr Fakkan	Fakkan,Fakkān,Khawr Fakkan,Khawr Fakkān,Khawr al Fakkan,Khawr al Fakkān,Khor Fakhan,Khor Fakkan,Khor Fakkān,Khor al Fakhan,Khor al Fakkan,Khor al Fākhān,Khorfakan,Khorfakhan,Port Khor Fakkan	25.33132	56.34199	P	PPL	AE		06				33575		20	Asia/Dubai	2012-01-18
292223	Dubai	Dubai	DXB,Dabei,Dibai,Dibay,Doubayi,Dubae,Dubai,Dubai emiraat,Dubaj,Dubajo,Dubajus,Dubay,Dubayy,Dubaï,Dúbæ,Fort Dabei,dby,dbyy,di bai,dobai,du bai,duba'i,dubai,dubi,tupay,Дубаи,Дубай,דובאי,دبئی,دبي,دبی,दुबई,துபாய்,ดูไบ,ドバイ,杜拜,迪拜,두바이	25.25817	55.30472	P	PPLA	AE		03				1137347		11	Asia/Dubai	2012-02-03
292239	Dibā	Diba	Daba,Daba al-Hisn,Dabā,Dabā al-Ḥiṣn,Diba,Diba al Hisn,Dibah,Dibba,Dibba Al'-Khisn,Dibbah,Dibā,Dibā al Ḩişn,Dībā al Ḩişn,Hisn Diba,Husn Dibba,Дибба Аль-Хисн,Ḩişn Dibā	25.61955	56.27291	P	PPL	AE		06				26395		4	Asia/Dubai	2012-01-18
292672	Sharjah	Sharjah	Al Sharjah,Ash 'Mariqah,Ash Shariqa,Ash Shariqah,Ash Shāriqa,Ash Shāriqah,Ash ’Mariqah,Ash-Shariqah' emiraat,Ash-Shāriqah' emiraat,Sarjo,Schardscha,Shardzha,Sharga,Sharijah,Shariqah,Sharja,Sharjah,Sharzha,Shārijah,Shāriqah,Shārja,alsharqt,carja,sharjh,sharqt,sharuja,xia er jia,Ŝarĵo,Шарджа,Шаржа,שארג'ה,الشارقة,شارجه,شارقة,சார்ஜா,シャールジャ,夏尔迦	25.35731	55.4033	P	PPLA	AE		06				543733		12	Asia/Dubai	2012-01-18
292688	Ar Ruways	Ar Ruways	Ar Ru'ays,Ar Ruways,Ar Ru’ays,Ruwais	24.11028	52.73056	P	PPL	AE	AE	01				16000		16	Asia/Dubai	2012-01-18
292878	Al Fujayrah	Al Fujayrah	Al Fujayrah,Al-Fudjayra,Al-Fujayrah' emiraat,Fudschaira,Fudzhejra,Fujaira,Fujairah,Fujajro,Fujayrah,Fuĵajro,alfjyrt,fjyrt,fu ji la,fujaira,Фуджейра,الفجيرة,فجيرة,フジャイラ,富吉拉	25.11641	56.34141	P	PPLA	AE		04				62415		15	Asia/Dubai	2012-01-18
292913	Al ‘Ayn	Al `Ayn	Al Ain,Al Ajn,Al `Ayn,Al ‘Ayn,Al'-Ajn,Al-Ain,Al-Ayn,Аль-Айн,العين	24.19167	55.76056	P	PPL	AE		01				408733		275	Asia/Dubai	2012-01-18
292932	`Ajmān	`Ajman	Ajman,Al Ajman,`Ujman,`Ujmān	25.41111	55.43504	P	PPLA	AE		02				226172		4	Asia/Dubai	2009-03-03
292953	Adh Dhayd	Adh Dhayd	Adh Dhaid,Adh Dhayd,Al Daid,Al-Dhayd,Dayd,Dhaid,Dhayd,Duhayd,Ihaid,aldhyd,الذيد,Ḑayd	25.28812	55.88157	P	PPL	AE		06				24716		114	Asia/Dubai	2012-01-18
292968	Abu Dhabi	Abu Dhabi	AEbu Saby,Abu Dabi,Abu Dabis,Abu Dhabi,Abu Dhabi emiraat,Abu Zabi,Abu Zaby,Abu Zabye,Abu Zabyo,Abu Ḑabi,Abu-Dabi,Abu-Dabio,Abud Dhabi,Abú Dabí,Abú Dhabí,Abú Zabí,Abū Z̧aby,Abū Z̧abye,Abū Z̧abyo,Abū Z̧abī,Ampou Ntampi,Emirato de Abu Dabi,a bu zha bi,abudabi,abwzby,Äbu Saby,Αμπου Νταμπι,Αμπού Ντάμπι,Абу Даби,Абу-Даби,Абу-Дабі,אבו דאבי,أبوظبي,アブダビ,阿布扎比,아부다비	24.46667	54.36667	P	PPLC	AE		01				603492		6	Asia/Dubai	2012-01-18
1123004	Taloqan	Taloqan	Khanabad,Taikhan,Taleqan,Talikan,Talikhan,Taliqan,Talkan,Taloqan,Talugan,Talukan,Taluqan,Tologan,Tāleqān,Tāloqān,Tāluqān,Tālīqān,talqan,Таликан,تالقان	36.73605	69.53451	P	PPLA	AF		26				64256		801	Asia/Kabul	2012-01-14
1125155	Shīnḏanḏ	Shindand	Asfazar,Asfazār,Sabzavar,Sabzavār,Sabzawar,Sabzevar,Sabzevār,Shindand,Shīndand,Shīnḏanḏ,Sindand,shyndnd,Šīndand,Шинданд,شيندند,شیندند,شینډنډ	33.30294	62.1474	P	PPLA2	AF		11				29264		1071	Asia/Kabul	2012-02-28
1125444	Shibirghān	Shibirghan	Seberghan,Sebeṟghān,Shahr-e Sheberghan,Shahr-e Sheberghān,Shayurgan,Shebergan,Sheberghan,Sheberghān,Sheberkhan,Shefrogan,Shibarghan,Shibarghān,Shibergan,Shibirghan,Shibirghān,shbrghan,shbrghn,Шеберган,شبرغان,شبرغن	36.66757	65.7529	P	PPLA	AF		31				55641		360	Asia/Kabul	2012-01-16
